127.0.0.1 - - [13/Nov/2018:00:10:55 -0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:10:58 -0200] "GET /Topico1/Formulario.jsp HTTP/1.1" 500 2732
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:10:58 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:11:24 -0200] "GET /Topico1/Formulario.jsp HTTP/1.1" 500 2732
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:11:24 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:11:50 -0200] "GET /Topico1/Formulario.jsp HTTP/1.1" 500 2732
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:11:50 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:16:50 -0200] "GET /Topico1/Formulario.jsp HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:16:50 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:16:55 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:16:59 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:18:36 -0200] "GET /Topico1/Formulario.jsp HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:18:38 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:18:39 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:18:39 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:19:32 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:19:33 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:19:39 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:19:40 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:19:43 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:19:44 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
